,ymd,pref,u_bukken_count,name
0,2018-10-01,1,91266,北海道
1,2018-10-03,1,91493,北海道
2,2018-10-05,1,91281,北海道
3,2018-10-09,1,91666,北海道
4,2018-10-12,1,91603,北海道
5,2018-10-16,1,92241,北海道
6,2018-10-19,1,91780,北海道
7,2018-10-23,1,91568,北海道
8,2018-10-26,1,92000,北海道
9,2018-10-30,1,92088,北海道
10,2018-10-31,1,91368,北海道
11,2018-11-01,1,92631,北海道
12,2018-11-02,1,92785,北海道
13,2018-11-03,1,92808,北海道
14,2018-11-04,1,92921,北海道
15,2018-11-05,1,92881,北海道
16,2018-11-06,1,92917,北海道
17,2018-11-07,1,92762,北海道
18,2018-11-08,1,92833,北海道
19,2018-11-09,1,93125,北海道
20,2018-11-10,1,93500,北海道
21,2018-11-11,1,93681,北海道
22,2018-11-12,1,93926,北海道
23,2018-11-13,1,93905,北海道
24,2018-11-14,1,93949,北海道
25,2018-11-15,1,94015,北海道
26,2018-11-16,1,93926,北海道
27,2018-11-17,1,94588,北海道
28,2018-11-18,1,94436,北海道
29,2018-11-19,1,94415,北海道
30,2018-11-20,1,94151,北海道
31,2018-11-21,1,93987,北海道
32,2018-11-22,1,93277,北海道
33,2018-11-23,1,93716,北海道
34,2018-11-24,1,93440,北海道
35,2018-11-25,1,93718,北海道
36,2018-11-26,1,92991,北海道
37,2018-11-27,1,91667,北海道
38,2018-11-28,1,91464,北海道
39,2018-11-29,1,91462,北海道
40,2018-11-30,1,90973,北海道
41,2018-12-01,1,92552,北海道
42,2018-12-02,1,92502,北海道
43,2018-12-03,1,92959,北海道
44,2018-12-04,1,93677,北海道
45,2018-12-05,1,93968,北海道
46,2018-12-06,1,93986,北海道
47,2018-12-07,1,94251,北海道
48,2018-12-08,1,94476,北海道
49,2018-12-09,1,94685,北海道
50,2018-12-10,1,94475,北海道
51,2018-12-11,1,93631,北海道
52,2018-12-12,1,94347,北海道
53,2018-12-13,1,94121,北海道
54,2018-12-14,1,95056,北海道
55,2018-12-15,1,96335,北海道
56,2018-12-16,1,95382,北海道
57,2018-12-17,1,91196,北海道
58,2018-12-18,1,91305,北海道
59,2018-12-19,1,95466,北海道
60,2018-12-20,1,94726,北海道
61,2018-12-21,1,93561,北海道
62,2018-12-22,1,94157,北海道
63,2018-12-23,1,95625,北海道
64,2018-12-24,1,95972,北海道
65,2018-12-25,1,95802,北海道
66,2018-12-26,1,95767,北海道
67,2018-12-27,1,96243,北海道
68,2018-12-28,1,96045,北海道
69,2018-12-29,1,95732,北海道
70,2018-12-30,1,95122,北海道
71,2018-12-31,1,94983,北海道
72,2019-01-01,1,95303,北海道
73,2019-01-02,1,94663,北海道
74,2019-01-03,1,92561,北海道
75,2019-01-04,1,92967,北海道
76,2019-01-05,1,92527,北海道
77,2019-01-06,1,92989,北海道
78,2019-01-07,1,92912,北海道
79,2019-01-08,1,93894,北海道
80,2019-01-09,1,94107,北海道
81,2019-01-10,1,93605,北海道
82,2019-01-11,1,94671,北海道
83,2019-01-12,1,95429,北海道
84,2019-01-13,1,95910,北海道
85,2019-01-14,1,96002,北海道
86,2019-01-15,1,95291,北海道
87,2019-01-16,1,94840,北海道
88,2019-01-17,1,93445,北海道
89,2019-01-18,1,93796,北海道
90,2019-01-19,1,93351,北海道
91,2019-01-20,1,92874,北海道
92,2019-01-21,1,92811,北海道
93,2019-01-22,1,92855,北海道
94,2019-01-23,1,92471,北海道
95,2019-01-24,1,92477,北海道
96,2019-01-25,1,92767,北海道
97,2019-01-26,1,92541,北海道
98,2019-01-27,1,91373,北海道
99,2019-01-28,1,91839,北海道
100,2019-01-29,1,92063,北海道
101,2019-01-30,1,91964,北海道
102,2019-01-31,1,91859,北海道
103,2019-02-01,1,93193,北海道
104,2019-02-02,1,94896,北海道
105,2019-02-03,1,95126,北海道
106,2019-02-04,1,95572,北海道
107,2019-02-05,1,94125,北海道
108,2019-02-06,1,95431,北海道
109,2019-02-07,1,92831,北海道
110,2019-02-08,1,94218,北海道
111,2019-02-09,1,94456,北海道
112,2019-02-10,1,93830,北海道
113,2019-02-11,1,94550,北海道
114,2019-02-12,1,94544,北海道
115,2019-02-13,1,93766,北海道
116,2019-02-14,1,94055,北海道
117,2019-02-15,1,93596,北海道
118,2019-02-16,1,92769,北海道
119,2019-02-17,1,93710,北海道
120,2019-02-18,1,94365,北海道
121,2019-02-19,1,94304,北海道
122,2019-02-20,1,93863,北海道
123,2019-02-21,1,94605,北海道
124,2019-02-22,1,94514,北海道
125,2019-02-23,1,93436,北海道
126,2019-02-24,1,93447,北海道
127,2019-02-25,1,93156,北海道
128,2019-02-26,1,92997,北海道
129,2019-02-27,1,92204,北海道
130,2019-02-28,1,91767,北海道
131,2019-03-01,1,94073,北海道
132,2019-03-02,1,94577,北海道
133,2019-03-03,1,94184,北海道
134,2019-03-04,1,94681,北海道
135,2019-03-05,1,94694,北海道
136,2019-03-06,1,94773,北海道
137,2019-03-07,1,94124,北海道
138,2019-03-08,1,94193,北海道
139,2019-03-09,1,93612,北海道
140,2019-03-10,1,94358,北海道
141,2019-03-11,1,93702,北海道
142,2019-03-12,1,92614,北海道
143,2019-03-13,1,92927,北海道
144,2019-03-14,1,93688,北海道
145,2019-03-15,1,93557,北海道
146,2019-03-16,1,93034,北海道
147,2019-03-17,1,93235,北海道
148,2019-03-18,1,92930,北海道
149,2019-03-19,1,92356,北海道
150,2019-03-20,1,92049,北海道
151,2019-03-21,1,92137,北海道
152,2019-03-22,1,91615,北海道
